"時点","地域コード","地域","総人口（総数）【人】","注記","出生率（人口千対）","注記"
"1977年","04000","宮城県","2008000","","",""
"1977年","05000","秋田県","1245000","","",""
"1977年","06000","山形県","1234000","","",""
"1977年","07000","福島県","1998000","","",""
"1977年","08000","茨城県","2417000","","",""
"1977年","09000","栃木県","1736000","","",""
"1977年","10000","群馬県","1799000","","",""
"1977年","11000","埼玉県","5091000","","",""
"1977年","12000","千葉県","4382000","","",""
"1977年","13000","東京都","11669000","","",""
"1977年","14000","神奈川県","6616000","","",""
"1977年","15000","新潟県","2417000","","",""
"1977年","16000","富山県","1085000","","",""
"1977年","17000","石川県","1091000","","",""
"1977年","18000","福井県","783000","","",""
"1977年","19000","山梨県","792000","","",""
"1977年","20000","長野県","2048000","","",""
"1977年","21000","岐阜県","1909000","","",""
"1977年","22000","静岡県","3368000","","",""
"1977年","23000","愛知県","6052000","","",""
"1977年","24000","三重県","1649000","","",""
"1977年","25000","滋賀県","1026000","","",""
"1977年","26000","京都府","2474000","","",""
"1977年","27000","大阪府","8373000","","",""
"1977年","28000","兵庫県","5063000","","",""
"1977年","29000","奈良県","1124000","","",""
"1977年","30000","和歌山県","1080000","","",""
"1977年","31000","鳥取県","591000","","",""
"1977年","32000","島根県","775000","","",""
"1977年","33000","岡山県","1840000","","",""
"1977年","34000","広島県","2689000","","",""
"1977年","35000","山口県","1573000","","",""
"1977年","36000","徳島県","813000","","",""
"1977年","37000","香川県","979000","","",""
"1977年","38000","愛媛県","1486000","","",""
"1977年","39000","高知県","819000","","",""
"1977年","40000","福岡県","4411000","","",""
"1977年","41000","佐賀県","848000","","",""
"1977年","42000","長崎県","1582000","","",""
"1977年","43000","熊本県","1747000","","",""
"1977年","44000","大分県","1207000","","",""
"1977年","45000","宮崎県","1114000","","",""
"1977年","46000","鹿児島県","1747000","","",""
"1977年","47000","沖縄県","1071000","","",""
"1978年","01000","北海道","5490000","","",""
"1978年","02000","青森県","1507000","","",""
"1978年","03000","岩手県","1409000","","",""
"1978年","04000","宮城県","2032000","","",""
"1978年","05000","秋田県","1250000","","",""
"1978年","06000","山形県","1241000","","",""
"1978年","07000","福島県","2012000","","",""
"1978年","08000","茨城県","2463000","","",""
"1978年","09000","栃木県","1753000","","",""
"1978年","10000","群馬県","1817000","","",""
"1978年","11000","埼玉県","5208000","","",""
"1978年","12000","千葉県","4508000","","",""
"1978年","13000","東京都","11659000","","",""
"1978年","14000","神奈川県","6728000","","",""
"1978年","15000","新潟県","2428000","","",""
"1978年","16000","富山県","1092000","","",""
"1978年","17000","石川県","1100000","","",""
"1978年","18000","福井県","787000","","",""
"1978年","19000","山梨県","796000","","",""
"1978年","20000","長野県","2062000","","",""
"1978年","21000","岐阜県","1927000","","",""
"1978年","22000","静岡県","3396000","","",""
"1978年","23000","愛知県","6115000","","",""
"1978年","24000","三重県","1661000","","",""
"1978年","25000","滋賀県","1043000","","",""
"1978年","26000","京都府","2494000","","",""
"1978年","27000","大阪府","8412000","","",""
"1978年","28000","兵庫県","5093000","","",""
"1978年","29000","奈良県","1152000","","",""
"1978年","30000","和歌山県","1084000","","",""
"1978年","31000","鳥取県","595000","","",""
"1978年","32000","島根県","779000","","",""
"1978年","33000","岡山県","1850000","","",""
"1978年","34000","広島県","2703000","","",""
"1978年","35000","山口県","1579000","","",""
"1978年","36000","徳島県","818000","","",""
"1978年","37000","香川県","986000","","",""
"1978年","38000","愛媛県","1493000","","",""
"1978年","39000","高知県","824000","","",""
"1978年","40000","福岡県","4460000","","",""
"1978年","41000","佐賀県","854000","","",""
"1978年","42000","長崎県","1587000","","",""
"1978年","43000","熊本県","1763000","","",""
"1978年","44000","大分県","1215000","","",""
"1978年","45000","宮崎県","1127000","","",""
"1978年","46000","鹿児島県","1760000","","",""
"1978年","47000","沖縄県","1081000","","",""
"1979年","01000","北海道","5535000","","",""
"1979年","02000","青森県","1516000","","",""
"1979年","03000","岩手県","1416000","","",""
"1979年","04000","宮城県","2059000","","",""
"1979年","05000","秋田県","1254000","","",""
"1979年","06000","山形県","1247000","","",""
"1979年","07000","福島県","2023000","","",""
"1979年","08000","茨城県","2510000","","",""
"1979年","09000","栃木県","1775000","","",""
"1979年","10000","群馬県","1833000","","",""
"1979年","11000","埼玉県","5318000","","",""
"1979年","12000","千葉県","4626000","","",""
"1979年","13000","東京都","11637000","","",""
"1979年","14000","神奈川県","6832000","","",""
"1979年","15000","新潟県","2439000","","",""
"1979年","16000","富山県","1098000","","",""
"1979年","17000","石川県","1110000","","",""
"1979年","18000","福井県","791000","","",""
"1979年","19000","山梨県","800000","","",""
"1979年","20000","長野県","2074000","","",""
"1979年","21000","岐阜県","1943000","","",""
"1979年","22000","静岡県","3423000","","",""
"1979年","23000","愛知県","6171000","","",""
"1979年","24000","三重県","1672000","","",""
"1979年","25000","滋賀県","1061000","","",""
"1979年","26000","京都府","2512000","","",""
"1979年","27000","大阪府","8445000","","",""
"1979年","28000","兵庫県","5119000","","",""
"1979年","29000","奈良県","1181000","","",""
"1979年","30000","和歌山県","1086000","","",""
"1979年","31000","鳥取県","600000","","",""
"1979年","32000","島根県","782000","","",""
"1979年","33000","岡山県","1861000","","",""
"1979年","34000","広島県","2717000","","",""
"1979年","35000","山口県","1583000","","",""
"1979年","36000","徳島県","822000","","",""
"1979年","37000","香川県","993000","","",""
"1979年","38000","愛媛県","1500000","","",""
"1979年","39000","高知県","829000","","",""
"1979年","40000","福岡県","4506000","","",""
"1979年","41000","佐賀県","860000","","",""
"1979年","42000","長崎県","1588000","","",""
"1979年","43000","熊本県","1777000","","",""
"1979年","44000","大分県","1223000","","",""
"1979年","45000","宮崎県","1141000","","",""
"1979年","46000","鹿児島県","1773000","","",""
"1979年","47000","沖縄県","1094000","","",""
"1980年","01000","北海道","5575989","","",""
"1980年","02000","青森県","1523907","","",""
"1980年","03000","岩手県","1421927","","",""
"1980年","04000","宮城県","2082320","","",""
"1980年","05000","秋田県","1256745","","",""
"1980年","06000","山形県","1251917","","",""
"1980年","07000","福島県","2035272","","",""
"1980年","08000","茨城県","2558007","","",""
"1980年","09000","栃木県","1792201","","",""
"1980年","10000","群馬県","1848562","","",""
"1980年","11000","埼玉県","5420480","","",""
"1980年","12000","千葉県","4735424","","",""
"1980年","13000","東京都","11618281","","",""
"1980年","14000","神奈川県","6924348","","",""
"1980年","15000","新潟県","2451357","","",""
"1980年","16000","富山県","1103459","","",""
"1980年","17000","石川県","1119304","","",""
"1980年","18000","福井県","794354","","",""
"1980年","19000","山梨県","804256","","",""
"1980年","20000","長野県","2083934","","",""
"1980年","21000","岐阜県","1960107","","",""
"1980年","22000","静岡県","3446804","","",""
"1980年","23000","愛知県","6221638","","",""
"1980年","24000","三重県","1686936","","",""
"1980年","25000","滋賀県","1079898","","",""
"1980年","26000","京都府","2527330","","",""
"1980年","27000","大阪府","8473446","","",""
"1980年","28000","兵庫県","5144892","","",""
"1980年","29000","奈良県","1209365","","",""
"1980年","30000","和歌山県","1087012","","",""
"1980年","31000","鳥取県","604221","","",""
"1980年","32000","島根県","784795","","",""
"1980年","33000","岡山県","1871023","","",""
"1980年","34000","広島県","2739161","","",""
"1980年","35000","山口県","1587079","","",""
"1980年","36000","徳島県","825261","","",""
"1980年","37000","香川県","999864","","",""
"1980年","38000","愛媛県","1506637","","",""
"1980年","39000","高知県","831275","","",""
"1980年","40000","福岡県","4553461","","",""
"1980年","41000","佐賀県","865574","","",""
"1980年","42000","長崎県","1590564","","",""
"1980年","43000","熊本県","1790327","","",""
"1980年","44000","大分県","1228913","","",""
"1980年","45000","宮崎県","1151587","","",""
"1980年","46000","鹿児島県","1784623","","",""
"1980年","47000","沖縄県","1106559","","",""
"1981年","01000","北海道","5605000","","",""
"1981年","02000","青森県","1526000","","",""
"1981年","03000","岩手県","1426000","","",""
"1981年","04000","宮城県","2104000","","",""
"1981年","05000","秋田県","1259000","","",""
"1981年","06000","山形県","1255000","","",""
"1981年","07000","福島県","2043000","","",""
"1981年","08000","茨城県","2595000","","",""
"1981年","09000","栃木県","1807000","","",""
"1981年","10000","群馬県","1864000","","",""
"1981年","11000","埼玉県","5520000","","",""
"1981年","12000","千葉県","4834000","","",""
"1981年","13000","東京都","11626000","","",""
"1981年","14000","神奈川県","7022000","","",""
"1981年","15000","新潟県","2459000","","",""
"1981年","16000","富山県","1106000","","",""
"1981年","17000","石川県","1127000","","",""
"1981年","18000","福井県","798000","","",""
"1981年","19000","山梨県","809000","","",""
"1981年","20000","長野県","2093000","","",""
"1981年","21000","岐阜県","1975000","","",""
"1981年","22000","静岡県","3472000","","",""
"1981年","23000","愛知県","6266000","","",""
"1981年","24000","三重県","1702000","","",""
"1981年","25000","滋賀県","1097000","","",""
"1981年","26000","京都府","2539000","","",""
"1981年","27000","大阪府","8509000","","",""
"1981年","28000","兵庫県","5171000","","",""
"1981年","29000","奈良県","1233000","","",""
"1981年","30000","和歌山県","1088000","","",""
"1981年","31000","鳥取県","607000","","",""
"1981年","32000","島根県","787000","","",""
"1981年","33000","岡山県","1881000","","",""
"1981年","34000","広島県","2761000","","",""
"1981年","35000","山口県","1592000","","",""
"1981年","36000","徳島県","827000","","",""
"1981年","37000","香川県","1005000","","",""
"1981年","38000","愛媛県","1512000","","",""
"1981年","39000","高知県","833000","","",""
"1981年","40000","福岡県","4594000","","",""
"1981年","41000","佐賀県","869000","","",""
"1981年","42000","長崎県","1594000","","",""
"1981年","43000","熊本県","1802000","","",""
"1981年","44000","大分県","1234000","","",""
"1981年","45000","宮崎県","1158000","","",""
"1981年","46000","鹿児島県","1794000","","",""
"1981年","47000","沖縄県","1119000","","",""
"1982年","01000","北海道","5630000","","",""
"1982年","02000","青森県","1527000","","",""
"1982年","03000","岩手県","1429000","","",""
"1982年","04000","宮城県","2125000","","",""
"1982年","05000","秋田県","1258000","","",""
"1982年","06000","山形県","1257000","","",""
"1982年","07000","福島県","2052000","","",""
"1982年","08000","茨城県","2636000","","",""
"1982年","09000","栃木県","1822000","","",""
"1982年","10000","群馬県","1879000","","",""
"1982年","11000","埼玉県","5615000","","",""
"1982年","12000","千葉県","4923000","","",""
"1982年","13000","東京都","11650000","","",""
"1982年","14000","神奈川県","7127000","","",""
"1982年","15000","新潟県","2465000","","",""
"1982年","16000","富山県","1110000","","",""
"1982年","17000","石川県","1134000","","",""
"1982年","18000","福井県","803000","","",""
"1982年","19000","山梨県","813000","","",""
"1982年","20000","長野県","2102000","","",""
"1982年","21000","岐阜県","1990000","","",""
"1982年","22000","静岡県","3498000","","",""
"1982年","23000","愛知県","6309000","","",""
"1982年","24000","三重県","1716000","","",""
"1982年","25000","滋賀県","1112000","","",""
"1982年","26000","京都府","2553000","","",""
"1982年","27000","大阪府","8543000","","",""
"1982年","28000","兵庫県","5198000","","",""
"1982年","29000","奈良県","1254000","","",""
"1982年","30000","和歌山県","1090000","","",""
"1982年","31000","鳥取県","610000","","",""
"1982年","32000","島根県","790000","","",""
"1982年","33000","岡山県","1891000","","",""
"1982年","34000","広島県","2777000","","",""
"1982年","35000","山口県","1597000","","",""
"1982年","36000","徳島県","830000","","",""
"1982年","37000","香川県","1010000","","",""
"1982年","38000","愛媛県","1517000","","",""
"1982年","39000","高知県","836000","","",""
"1982年","40000","福岡県","4632000","","",""
"1982年","41000","佐賀県","873000","","",""
"1982年","42000","長崎県","1595000","","",""
"1982年","43000","熊本県","1811000","","",""
"1982年","44000","大分県","1239000","","",""
"1982年","45000","宮崎県","1166000","","",""
"1982年","46000","鹿児島県","1801000","","",""
"1982年","47000","沖縄県","1132000","","",""
"1983年","01000","北海道","5656000","","",""
"1983年","02000","青森県","1528000","","",""
"1983年","03000","岩手県","1432000","","",""
"1983年","04000","宮城県","2144000","","",""
"1983年","05000","秋田県","1256000","","",""
"1983年","06000","山形県","1258000","","",""
"1983年","07000","福島県","2061000","","",""
"1983年","08000","茨城県","2670000","","",""
"1983年","09000","栃木県","1835000","","",""
"1983年","10000","群馬県","1893000","","",""
"1983年","11000","埼玉県","5700000","","",""
"1983年","12000","千葉県","5005000","","",""
"1983年","13000","東京都","11700000","","",""
"1983年","14000","神奈川県","7227000","","",""
"1983年","15000","新潟県","2469000","","",""
"1983年","16000","富山県","1113000","","",""
"1983年","17000","石川県","1141000","","",""
"1983年","18000","福井県","809000","","",""
"1983年","19000","山梨県","820000","","",""
"1983年","20000","長野県","2112000","","",""
"1983年","21000","岐阜県","2004000","","",""
"1983年","22000","静岡県","3522000","","",""
"1983年","23000","愛知県","6353000","","",""
"1983年","24000","三重県","1728000","","",""
"1983年","25000","滋賀県","1127000","","",""
"1983年","26000","京都府","2569000","","",""
"1983年","27000","大阪府","8588000","","",""
"1983年","28000","兵庫県","5227000","","",""
"1983年","29000","奈良県","1273000","","",""
"1983年","30000","和歌山県","1090000","","",""
"1983年","31000","鳥取県","612000","","",""
"1983年","32000","島根県","790000","","",""
"1983年","33000","岡山県","1901000","","",""
"1983年","34000","広島県","2793000","","",""
"1983年","35000","山口県","1600000","","",""
"1983年","36000","徳島県","831000","","",""
"1983年","37000","香川県","1014000","","",""
"1983年","38000","愛媛県","1522000","","",""
"1983年","39000","高知県","838000","","",""
"1983年","40000","福岡県","4667000","","",""
"1983年","41000","佐賀県","876000","","",""
"1983年","42000","長崎県","1596000","","",""
"1983年","43000","熊本県","1820000","","",""
"1983年","44000","大分県","1243000","","",""
"1983年","45000","宮崎県","1170000","","",""
"1983年","46000","鹿児島県","1807000","","",""
"1983年","47000","沖縄県","1146000","","",""
"1984年","01000","北海道","5672000","","",""
"1984年","02000","青森県","1527000","","",""
"1984年","03000","岩手県","1433000","","",""
"1984年","04000","宮城県","2161000","","",""
"1984年","05000","秋田県","1255000","","",""
"1984年","06000","山形県","1260000","","",""
"1984年","07000","福島県","2071000","","",""
"1984年","08000","茨城県","2698000","","",""
"1984年","09000","栃木県","1850000","","",""
"1984年","10000","群馬県","1908000","","",""
"1984年","11000","埼玉県","5784000","","",""
"1984年","12000","千葉県","5079000","","",""
"1984年","13000","東京都","11759000","","",""
"1984年","14000","神奈川県","7328000","","",""
"1984年","15000","新潟県","2474000","","",""
"1984年","16000","富山県","1116000","","",""
"1984年","17000","石川県","1147000","","",""
"1984年","18000","福井県","813000","","",""
"1984年","19000","山梨県","826000","","",""
"1984年","20000","長野県","2125000","","",""
"1984年","21000","岐阜県","2017000","","",""
"1984年","22000","静岡県","3547000","","",""
"1984年","23000","愛知県","6401000","","",""
"1984年","24000","三重県","1737000","","",""
"1984年","25000","滋賀県","1141000","","",""
"1984年","26000","京都府","2578000","","",""
"1984年","27000","大阪府","8632000","","",""
"1984年","28000","兵庫県","5252000","","",""
"1984年","29000","奈良県","1290000","","",""
"1984年","30000","和歌山県","1088000","","",""
"1984年","31000","鳥取県","614000","","",""
"1984年","32000","島根県","793000","","",""
"1984年","33000","岡山県","1909000","","",""
"1984年","34000","広島県","2807000","","",""
"1984年","35000","山口県","1601000","","",""
"1984年","36000","徳島県","834000","","",""
"1984年","37000","香川県","1018000","","",""
"1984年","38000","愛媛県","1526000","","",""
"1984年","39000","高知県","839000","","",""
"1984年","40000","福岡県","4697000","","",""
"1984年","41000","佐賀県","878000","","",""
"1984年","42000","長崎県","1595000","","",""
"1984年","43000","熊本県","1830000","","",""
"1984年","44000","大分県","1248000","","",""
"1984年","45000","宮崎県","1173000","","",""
"1984年","46000","鹿児島県","1814000","","",""
"1984年","47000","沖縄県","1161000","","",""
"1985年","01000","北海道","5679439","","",""
"1985年","02000","青森県","1524448","","",""
"1985年","03000","岩手県","1433611","","",""
"1985年","04000","宮城県","2176295","","",""
"1985年","05000","秋田県","1254032","","",""
"1985年","06000","山形県","1261662","","",""
"1985年","07000","福島県","2080304","","",""
"1985年","08000","茨城県","2725005","","",""
"1985年","09000","栃木県","1866066","","",""
"1985年","10000","群馬県","1921259","","",""
"1985年","11000","埼玉県","5863678","","",""
"1985年","12000","千葉県","5148163","","",""
"1985年","13000","東京都","11829363","","",""
"1985年","14000","神奈川県","7431974","","",""
"1985年","15000","新潟県","2478470","","",""
"1985年","16000","富山県","1118369","","",""
"1985年","17000","石川県","1152325","","",""
"1985年","18000","福井県","817633","","",""
"1985年","19000","山梨県","832832","","",""
"1985年","20000","長野県","2136927","","",""
"1985年","21000","岐阜県","2028536","","",""
"1985年","22000","静岡県","3574692","","",""
"1985年","23000","愛知県","6455172","","",""
"1985年","24000","三重県","1747311","","",""
"1985年","25000","滋賀県","1155844","","",""
"1985年","26000","京都府","2586574","","",""
"1985年","27000","大阪府","8668095","","",""
"1985年","28000","兵庫県","5278050","","",""
"1985年","29000","奈良県","1304866","","",""
"1985年","30000","和歌山県","1087206","","",""
"1985年","31000","鳥取県","616024","","",""
"1985年","32000","島根県","794629","","",""
"1985年","33000","岡山県","1916906","","",""
"1985年","34000","広島県","2819200","","",""
"1985年","35000","山口県","1601627","","",""
"1985年","36000","徳島県","834889","","",""
"1985年","37000","香川県","1022569","","",""
"1985年","38000","愛媛県","1529983","","",""
"1985年","39000","高知県","839784","","",""
"1985年","40000","福岡県","4719259","","",""
"1985年","41000","佐賀県","880013","","",""
"1985年","42000","長崎県","1593968","","",""
"1985年","43000","熊本県","1837747","","",""
"1985年","44000","大分県","1250214","","",""
"1985年","45000","宮崎県","1175543","","",""
"1985年","46000","鹿児島県","1819270","","",""
"1985年","47000","沖縄県","1179097","","",""
"1986年","01000","北海道","5673000","","",""
"1986年","02000","青森県","1517000","","",""
"1986年","03000","岩手県","1431000","","",""
"1986年","04000","宮城県","2190000","","",""
"1986年","05000","秋田県","1249000","","",""
"1986年","06000","山形県","1262000","","",""
"1986年","07000","福島県","2085000","","",""
"1986年","08000","茨城県","2746000","","",""
"1986年","09000","栃木県","1880000","","",""
"1986年","10000","群馬県","1931000","","",""
"1986年","11000","埼玉県","5954000","","",""
"1986年","12000","千葉県","5219000","","",""
"1986年","13000","東京都","11888000","","",""
"1986年","14000","神奈川県","7553000","","",""
"1986年","15000","新潟県","2478000","","",""
"1986年","16000","富山県","1119000","","",""
"1986年","17000","石川県","1155000","","",""
"1986年","18000","福井県","819000","","",""
"1986年","19000","山梨県","837000","","",""
"1986年","20000","長野県","2143000","","",""
"1986年","21000","岐阜県","2036000","","",""
"1986年","22000","静岡県","3597000","","",""
"1986年","23000","愛知県","6512000","","",""
"1986年","24000","三重県","1756000","","",""
"1986年","25000","滋賀県","1166000","","",""
"1986年","26000","京都府","2595000","","",""
"1986年","27000","大阪府","8705000","","",""
"1986年","28000","兵庫県","5300000","","",""
"1986年","29000","奈良県","1318000","","",""
"1986年","30000","和歌山県","1083000","","",""
"1986年","31000","鳥取県","616000","","",""
"1986年","32000","島根県","793000","","",""
"1986年","33000","岡山県","1921000","","",""
"1986年","34000","広島県","2829000","","",""
"1986年","35000","山口県","1598000","","",""
"1986年","36000","徳島県","835000","","",""
"1986年","37000","香川県","1024000","","",""
"1986年","38000","愛媛県","1528000","","",""
"1986年","39000","高知県","838000","","",""
"1986年","40000","福岡県","4741000","","",""
"1986年","41000","佐賀県","880000","","",""
"1986年","42000","長崎県","1589000","","",""
"1986年","43000","熊本県","1840000","","",""
"1986年","44000","大分県","1249000","","",""
"1986年","45000","宮崎県","1174000","","",""
"1986年","46000","鹿児島県","1816000","","",""
"1986年","47000","沖縄県","1188000","","",""
"1987年","01000","北海道","5660000","","",""
"1987年","02000","青森県","1511000","","",""
"1987年","03000","岩手県","1427000","","",""
"1987年","04000","宮城県","2206000","","",""
"1987年","05000","秋田県","1244000","","",""
"1987年","06000","山形県","1262000","","",""
"1987年","07000","福島県","2091000","","",""
"1987年","08000","茨城県","2769000","","",""
"1987年","09000","栃木県","1895000","","",""
"1987年","10000","群馬県","1941000","","",""
"1987年","11000","埼玉県","6071000","","",""
"1987年","12000","千葉県","5307000","","",""
"1987年","13000","東京都","11887000","","",""
"1987年","14000","神奈川県","7684000","","",""
"1987年","15000","新潟県","2477000","","",""
"1987年","16000","富山県","1120000","","",""
"1987年","17000","石川県","1158000","","",""
"1987年","18000","福井県","822000","","",""
"1987年","19000","山梨県","841000","","",""
"1987年","20000","長野県","2148000","","",""
"1987年","21000","岐阜県","2044000","","",""
"1987年","22000","静岡県","3619000","","",""
"1987年","23000","愛知県","6566000","","",""
"1987年","24000","三重県","1765000","","",""
"1987年","25000","滋賀県","1178000","","",""
"1987年","26000","京都府","2601000","","",""
"1987年","27000","大阪府","8737000","","",""
"1987年","28000","兵庫県","5319000","","",""
"1987年","29000","奈良県","1333000","","",""
"1987年","30000","和歌山県","1079000","","",""
"1987年","31000","鳥取県","616000","","",""
"1987年","32000","島根県","792000","","",""
"1987年","33000","岡山県","1924000","","",""
"1987年","34000","広島県","2834000","","",""
"1987年","35000","山口県","1592000","","",""
"1987年","36000","徳島県","835000","","",""
"1987年","37000","香川県","1024000","","",""
"1987年","38000","愛媛県","1525000","","",""
"1987年","39000","高知県","836000","","",""
"1987年","40000","福岡県","4756000","","",""
"1987年","41000","佐賀県","880000","","",""
"1987年","42000","長崎県","1584000","","",""
"1987年","43000","熊本県","1842000","","",""
"1987年","44000","大分県","1247000","","",""
"1987年","45000","宮崎県","1174000","","",""
"1987年","46000","鹿児島県","1816000","","",""
"1987年","47000","沖縄県","1199000","","",""
"1988年","01000","北海道","5656000","","",""
"1988年","02000","青森県","1502000","","",""
"1988年","03000","岩手県","1424000","","",""
"1988年","04000","宮城県","2221000","","",""
"1988年","05000","秋田県","1238000","","",""
"1988年","06000","山形県","1262000","","",""
"1988年","07000","福島県","2095000","","",""
"1988年","08000","茨城県","2795000","","",""
"1988年","09000","栃木県","1908000","","",""
"1988年","10000","群馬県","1949000","","",""
"1988年","11000","埼玉県","6195000","","",""
"1988年","12000","千葉県","5403000","","",""
"1988年","13000","東京都","11873000","","",""
"1988年","14000","神奈川県","7794000","","",""
"1988年","15000","新潟県","2476000","","",""
"1988年","16000","富山県","1120000","","",""
"1988年","17000","石川県","1160000","","",""
"1988年","18000","福井県","822000","","",""
"1988年","19000","山梨県","845000","","",""
"1988年","20000","長野県","2149000","","",""
"1988年","21000","岐阜県","2051000","","",""
"1988年","22000","静岡県","3639000","","",""
"1988年","23000","愛知県","6606000","","",""
"1988年","24000","三重県","1772000","","",""
"1988年","25000","滋賀県","1191000","","",""
"1988年","26000","京都府","2604000","","",""
"1988年","27000","大阪府","8748000","","",""
"1988年","28000","兵庫県","5344000","","",""
"1988年","29000","奈良県","1347000","","",""
"1988年","30000","和歌山県","1076000","","",""
"1988年","31000","鳥取県","617000","","",""
"1988年","32000","島根県","789000","","",""
"1988年","33000","岡山県","1925000","","",""
"1988年","34000","広島県","2838000","","",""
"1988年","35000","山口県","1587000","","",""
"1988年","36000","徳島県","834000","","",""
"1988年","37000","香川県","1025000","","",""
"1988年","38000","愛媛県","1522000","","",""
"1988年","39000","高知県","833000","","",""
"1988年","40000","福岡県","4773000","","",""
"1988年","41000","佐賀県","880000","","",""
"1988年","42000","長崎県","1578000","","",""
"1988年","43000","熊本県","1842000","","",""
"1988年","44000","大分県","1243000","","",""
"1988年","45000","宮崎県","1173000","","",""
"1988年","46000","鹿児島県","1812000","","",""
"1988年","47000","沖縄県","1208000","","",""
"1989年","01000","北海道","5649000","","",""
"1989年","02000","青森県","1492000","","",""
"1989年","03000","岩手県","1419000","","",""
"1989年","04000","宮城県","2236000","","",""
"1989年","05000","秋田県","1232000","","",""
"1989年","06000","山形県","1260000","","",""
"1989年","07000","福島県","2100000","","",""
"1989年","08000","茨城県","2822000","","",""
"1989年","09000","栃木県","1921000","","",""
"1989年","10000","群馬県","1959000","","",""
"1989年","11000","埼玉県","6308000","","",""
"1989年","12000","千葉県","5487000","","",""
